Frame,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16
Frame1,[122 171],[158 172],[126 155],[141 154],[173 166],[180 189],[133 152],[133  93],[131  86],[123  55],[114 141],[119 115],[123  95],[142  91],[171  99],[183  98]
Frame2,[156 169],[160 179],[120 149],[136 147],[189 171],[216 180],[129 147],[128  93],[125  85],[118  56],[109 157],[106 121],[116  96],[139  89],[164  91],[179  87]
Frame3,[185 171],[168 180],[124 155],[137 152],[200 169],[219 180],[131 151],[128  92],[125  84],[117  56],[113 158],[107 125],[120  93],[138  90],[163  91],[176  89]
Frame4,[132 149],[181 179],[122 154],[139 152],[202 166],[219 179],[131 151],[129  91],[127  85],[120  53],[113 150],[109 122],[118  95],[140  88],[162  90],[179  85]
Frame5,[134 161],[185 179],[123 158],[139 153],[206 169],[220 180],[132 152],[131  91],[129  84],[120  54],[111 142],[113 120],[120  93],[141  89],[168  92],[181  89]
Frame6,[130 168],[189 179],[123 161],[140 154],[205 168],[219 179],[133 155],[130  90],[128  84],[121  53],[109 152],[111 124],[119  93],[141  87],[164  91],[180  86]
Frame7,[123 152],[188 180],[121 156],[138 152],[210 172],[219 180],[131 151],[130  90],[129  84],[121  53],[109 157],[111 122],[119  92],[141  88],[165  91],[180  88]
Frame8,[121 165],[190 179],[122 163],[138 155],[206 168],[218 178],[132 154],[130  91],[128  84],[121  52],[110 162],[112 124],[120  94],[140  88],[163  90],[179  87]
Frame9,[135 169],[192 178],[121 160],[138 154],[206 169],[219 178],[131 153],[130  91],[128  84],[120  54],[108 160],[111 125],[119  93],[141  88],[167  90],[181  87]
Frame10,[118 165],[184 178],[123 160],[140 154],[202 166],[219 177],[133 155],[129  90],[127  83],[121  53],[106 154],[109 126],[118  92],[140  87],[161  88],[178  84]
Frame11,[ 99 151],[176 178],[122 152],[138 152],[200 172],[211 182],[131 151],[131  91],[129  84],[120  54],[108 150],[111 121],[118  92],[140  90],[168  98],[180  99]
Frame12,[103 154],[177 176],[122 153],[138 151],[198 171],[209 183],[131 151],[131  91],[130  84],[120  53],[111 153],[113 123],[119  91],[139  90],[168  99],[180 100]
Frame13,[153 174],[195 177],[122 170],[139 157],[208 168],[219 179],[131 158],[131  91],[129  85],[120  52],[111 154],[116 123],[122  92],[140  89],[165  91],[181  88]
Frame14,[105 155],[180 174],[123 161],[138 155],[206 169],[216 180],[131 155],[131  90],[129  84],[120  53],[111 155],[116 127],[120  92],[140  89],[168  93],[180  91]
Frame15,[106 148],[188 175],[121 162],[138 155],[205 169],[218 180],[131 155],[130  90],[129  84],[120  53],[112 159],[112 125],[120  92],[140  89],[167  92],[180  90]
Frame16,[127 168],[188 178],[122 157],[139 155],[207 171],[220 179],[132 154],[130  90],[128  84],[120  54],[107 149],[110 122],[119  92],[141  88],[166  90],[180  87]
Frame17,[129 155],[191 179],[123 159],[139 152],[208 170],[219 179],[132 151],[130  90],[128  85],[118  55],[110 146],[112 122],[118  93],[140  88],[167  91],[180  88]
Frame18,[143 162],[184 178],[123 157],[139 152],[207 169],[220 179],[132 152],[129  90],[128  84],[119  55],[108 150],[110 122],[117  94],[140  88],[166  90],[179  88]
Frame19,[135 159],[193 179],[123 162],[139 153],[207 169],[220 179],[132 153],[130  90],[128  85],[119  54],[111 158],[112 123],[118  93],[140  88],[166  90],[180  87]
Frame20,[138 166],[192 179],[122 164],[139 155],[207 168],[219 178],[132 155],[130  91],[128  85],[120  54],[110 161],[113 126],[119  94],[140  88],[164  90],[179  87]
Frame21,[158 163],[196 177],[127 170],[140 160],[206 166],[217 178],[134 163],[131  91],[130  85],[121  51],[111 160],[120 128],[123  93],[140  89],[167  91],[181  88]
Frame22,[200 177],[178 175],[135 161],[141 157],[206 166],[218 176],[137 156],[134  89],[133  82],[129  50],[147 107],[138  91],[126  90],[145  86],[170  86],[184  81]
