Frame,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16
Frame1,[138 185],[135 169],[137 158],[148 152],[177 169],[205 180],[141 152],[138  88],[137  83],[135  53],[94 82],[107  94],[125  89],[151  89],[175  91],[190  82]
Frame2,[139 183],[129 174],[128 141],[144 142],[146 171],[168 186],[136 141],[135  88],[134  83],[133  54],[88 86],[101  99],[122  89],[149  88],[172  92],[186  85]
Frame3,[121 189],[125 184],[135 150],[154 146],[161 175],[149 198],[145 148],[143  88],[143  81],[142  53],[98 74],[104  92],[129  88],[157  88],[182  92],[200  85]
Frame4,[108 187],[130 179],[141 146],[155 144],[162 182],[149 202],[148 145],[147  88],[147  80],[147  52],[100  76],[113  94],[132  88],[163  88],[189  92],[206  88]
Frame5,[132 186],[129 188],[137 152],[155 149],[163 182],[164 193],[146 150],[141  88],[141  80],[140  49],[88 80],[100  94],[126  89],[158  89],[186  95],[201  90]
Frame6,[124 185],[127 189],[136 151],[155 147],[162 183],[163 199],[146 149],[141  88],[140  80],[139  50],[90 79],[100  95],[125  89],[157  89],[186  93],[200  87]
Frame7,[115 187],[127 188],[137 151],[156 147],[161 183],[158 204],[146 149],[142  88],[142  80],[141  51],[92 83],[102  95],[126  89],[159  88],[187  94],[203  91]
Frame8,[120 189],[128 185],[137 150],[156 147],[162 179],[158 204],[147 148],[143  88],[143  80],[141  52],[90 81],[102  94],[128  89],[159  88],[187  92],[203  86]
Frame9,[132 198],[129 182],[137 148],[156 145],[161 177],[157 204],[147 146],[143  88],[143  79],[143  52],[100  74],[104  91],[129  88],[159  88],[186  91],[203  85]
Frame10,[120 189],[127 185],[137 150],[156 146],[162 179],[158 203],[147 148],[143  88],[143  80],[142  51],[92 82],[105  95],[128  90],[159  88],[188  95],[204  90]
Frame11,[131 197],[129 184],[137 148],[155 145],[161 179],[154 204],[146 147],[143  87],[143  80],[142  52],[96 73],[103  87],[128  87],[159  88],[184  87],[205  82]
Frame12,[123 189],[127 186],[136 150],[154 147],[161 181],[151 203],[145 148],[142  88],[142  80],[140  51],[91 80],[102  94],[127  88],[158  88],[185  92],[202  85]
Frame13,[133 194],[130 181],[136 148],[155 145],[163 173],[152 198],[146 146],[141  87],[141  81],[139  50],[93 70],[104  82],[126  87],[156  87],[183  81],[202  77]
Frame14,[120 176],[127 188],[136 151],[153 148],[161 182],[154 201],[144 149],[141  88],[140  80],[139  48],[86 81],[101  95],[126  89],[156  89],[185  93],[201  89]
Frame15,[125 190],[129 185],[136 149],[155 146],[161 179],[154 201],[145 148],[141  88],[141  81],[140  50],[97 74],[103  88],[127  88],[156  89],[183  90],[201  84]
Frame16,[120 187],[128 188],[135 150],[154 147],[160 183],[158 203],[145 148],[141  88],[140  80],[139  50],[87 80],[99 95],[126  89],[157  89],[185  92],[200  86]
Frame17,[129 193],[130 184],[136 149],[156 145],[161 177],[152 199],[146 147],[141  87],[141  81],[139  51],[97 70],[103  86],[126  88],[156  88],[182  86],[201  80]
Frame18,[129 192],[128 184],[136 149],[156 145],[161 178],[151 200],[146 147],[141  87],[141  80],[139  51],[96 72],[102  86],[126  87],[156  88],[182  87],[200  81]
Frame19,[111 181],[127 189],[136 151],[156 147],[162 182],[168 199],[146 149],[141  88],[141  80],[139  50],[89 82],[101  96],[126  89],[158  88],[186  93],[200  88]
Frame20,[130 189],[130 182],[136 146],[154 145],[160 178],[156 198],[145 146],[141  89],[141  80],[140  51],[93 95],[106 102],[126  91],[157  89],[182 100],[201 105]
Frame21,[131 190],[130 182],[136 146],[154 145],[160 178],[154 197],[145 146],[141  90],[141  80],[140  51],[93 95],[106 102],[126  91],[156  90],[183 101],[202 107]
Frame22,[120 186],[127 187],[136 150],[155 146],[161 179],[156 201],[146 148],[141  88],[141  80],[141  51],[92 79],[101  94],[126  89],[158  88],[184  92],[200  85]
Frame23,[131 197],[130 180],[137 147],[156 144],[163 175],[151 201],[146 146],[142  87],[142  81],[141  52],[97 70],[105  81],[127  87],[157  87],[183  79],[203  76]
Frame24,[132 202],[130 182],[136 146],[157 143],[164 173],[154 203],[147 145],[141  86],[141  79],[140  51],[94 69],[104  80],[127  87],[156  86],[181  74],[201  73]
Frame25,[129 197],[131 178],[137 145],[155 143],[165 176],[152 202],[146 144],[141  85],[141  80],[141  51],[94 69],[105  78],[127  87],[156  85],[181  73],[200  67]
Frame26,[119 183],[131 179],[137 145],[153 143],[164 180],[156 200],[144 144],[141  85],[141  80],[142  50],[90 66],[106  73],[128  85],[156  85],[180  72],[198  62]
Frame27,[126 191],[132 179],[137 145],[154 143],[166 175],[156 199],[145 144],[141  85],[141  80],[142  51],[92 66],[106  74],[127  85],[156  84],[180  72],[199  63]
Frame28,[118 191],[128 186],[136 149],[155 145],[161 181],[154 202],[146 147],[142  88],[142  79],[140  51],[89 79],[102  95],[127  89],[159  87],[186  90],[201  84]
Frame29,[116 190],[128 187],[136 149],[156 145],[162 179],[157 200],[146 147],[141  87],[141  80],[139  51],[97 72],[102  93],[126  89],[157  86],[185  82],[203  78]
Frame30,[120 178],[128 184],[135 149],[155 145],[161 179],[177 193],[146 147],[140  88],[139  80],[137  49],[86 80],[100  95],[125  90],[156  88],[184  91],[199  85]
