Frame,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16
Frame1,[101 198],[124 189],[141 149],[161 147],[182 180],[203 193],[150 150],[150  89],[151  78],[155  46],[90 89],[109  95],[133  87],[165  90],[173 122],[181 146]
Frame2,[109 180],[171 176],[142 165],[155 160],[186 165],[192 191],[146 161],[142  90],[142  80],[144  45],[91 84],[109  94],[127  90],[156  92],[175 140],[182 154]
Frame3,[151 158],[154 175],[149 166],[158 158],[190 163],[213 182],[148 161],[139  93],[139  83],[139  48],[84 83],[105  96],[124  94],[153  94],[168 134],[183 155]
Frame4,[153 170],[143 182],[146 163],[158 159],[182 170],[208 189],[147 160],[144  91],[143  82],[144  51],[101  84],[112  98],[131  90],[158  94],[210 153],[199 155]
Frame5,[146 179],[138 178],[146 157],[158 149],[200 168],[210 179],[150 154],[146  91],[145  83],[146  54],[101  82],[113  97],[132  89],[158  93],[173 123],[187 148]
Frame6,[169 180],[143 182],[149 162],[160 155],[185 176],[207 187],[150 158],[144  91],[144  84],[147  55],[91 88],[110  97],[131  90],[155  92],[173 134],[187 154]
Frame7,[178 180],[139 181],[145 158],[156 153],[192 171],[213 179],[147 154],[144  90],[144  82],[143  52],[104  81],[114  95],[131  88],[156  93],[173 129],[181 152]
Frame8,[182 175],[137 183],[145 162],[155 158],[174 181],[201 187],[148 158],[144  91],[143  83],[143  52],[103  85],[113  96],[131  89],[155  94],[187 145],[180 153]
Frame9,[138 180],[139 182],[145 161],[155 156],[178 181],[198 186],[148 157],[144  92],[144  84],[145  51],[147 133],[116 102],[134  92],[155  94],[179 136],[182 153]
Frame10,[133 181],[135 181],[145 160],[156 155],[180 180],[207 184],[148 157],[145  92],[144  83],[145  51],[131 119],[116 101],[131  91],[157  93],[174 130],[181 152]
Frame11,[184 177],[130 181],[145 159],[157 153],[184 174],[211 178],[149 156],[144  91],[143  82],[142  53],[100  75],[112  87],[130  88],[157  94],[170 125],[181 148]
Frame12,[163 177],[131 181],[144 162],[156 158],[177 181],[197 189],[148 159],[144  93],[144  84],[146  54],[96 98],[111 101],[133  93],[157  93],[189 142],[185 152]
Frame13,[141 179],[133 180],[144 162],[155 157],[178 179],[202 186],[148 159],[144  92],[143  83],[143  51],[111 104],[112 101],[130  92],[156  93],[186 138],[185 153]
Frame14,[157 176],[138 183],[146 162],[155 158],[180 179],[196 190],[148 159],[145  92],[144  83],[144  52],[124 112],[113 100],[133  92],[156  93],[185 140],[186 154]
Frame15,[150 179],[132 180],[145 160],[156 154],[184 177],[204 184],[148 156],[145  91],[144  83],[144  53],[100  87],[112  97],[131  90],[157  93],[178 130],[187 152]
Frame16,[131 183],[131 180],[146 160],[157 153],[184 177],[204 186],[149 156],[145  91],[145  83],[146  54],[91 88],[112  99],[132  90],[157  92],[176 130],[187 153]
Frame17,[143 181],[130 181],[145 160],[156 155],[184 177],[195 187],[148 157],[145  92],[145  83],[145  52],[106  94],[114  98],[133  90],[157  92],[181 134],[188 154]
Frame18,[135 182],[130 180],[145 160],[156 153],[183 176],[202 184],[148 156],[145  91],[145  83],[145  53],[100  94],[114  99],[133  91],[157  92],[174 130],[186 153]
Frame19,[154 180],[132 179],[143 158],[155 152],[183 174],[209 182],[148 155],[145  91],[144  81],[145  52],[95 82],[112  94],[131  89],[157  92],[169 124],[183 151]
Frame20,[116 188],[133 181],[143 154],[161 149],[199 167],[205 186],[150 153],[149  90],[149  80],[151  49],[100  82],[114  94],[134  88],[163  91],[171 124],[181 146]
