filename,width,height,class,xmin,ymin,xmax,ymax
2020-06-24-19-09-28_1_4890008330249_699376a2-1502-497a-9211-40b18aeedf61.jpg,1280,720,Plastic_Bottle,410,342,1086,511
2020-06-24-17-00-32_1_4891379161685_ada03a43-0835-480c-9bc5-877777ed2b14.jpg,1280,720,Plastic_Bottle,449,332,1280,537
2020-07-17-15-12-36_8_4890008100309_92b3a438-ce25-48c5-947f-3e443d322a1b.jpg,1280,720,Metal_Can,542,321,946,463
2020-06-24-21-17-28_1_6958763905015_807a01a8-5a15-41f4-9b32-2b357503d6b2.jpg,1280,720,Plastic_Bottle,411,347,1130,519
2020-06-24-14-35-30_1_4891028170969_ab6e9add-2eb9-4e4d-9211-8a5d30503047.jpg,1280,720,Plastic_Bottle,296,328,974,507
2020-07-23-15-45-41_8_4891513202014_88276ad3-4eef-4a51-9876-d12bae55310d.jpg,1280,720,Metal_Can,376,293,784,427
2020-06-24-12-30-29_1_051000008039_e0252da2-62d6-47ab-bb68-98e036d469e0.jpg,1280,720,Plastic_Bottle,0,263,641,538
2020-06-24-19-18-04_1_4891028165040_696758b7-51b4-49bf-99f7-4ae80f8be841.jpg,1280,720,Plastic_Bottle,52,337,901,529
2020-06-24-19-55-58_1_6938761203658_f21c9060-c31a-4918-9892-70299639df63.jpg,1280,720,Plastic_Bottle,0,321,328,526
2020-06-24-19-55-58_1_6938761203658_f21c9060-c31a-4918-9892-70299639df63.jpg,1280,720,Plastic_Bottle,334,316,1141,524
2020-06-27-07-30-19_1_4710784965667_db8204f7-d990-438a-b630-09969c283722.jpg,1280,720,Plastic_Bottle,3,395,310,547
2020-06-27-07-30-19_1_4710784965667_db8204f7-d990-438a-b630-09969c283722.jpg,1280,720,Plastic_Bottle,702,367,1280,531
2020-06-27-03-46-17_1_4890008150519_d7f43c7f-dc25-4060-896d-f7f85102a1bc.jpg,1280,720,Plastic_Bottle,729,377,1280,543
2020-07-17-14-31-44_8_4890008100309_848ec75e-3828-42bb-a7c4-8e6b4862032b.jpg,1280,720,Metal_Can,413,321,845,455
2020-06-27-03-28-22_1_6925009918849_dcb5705f-b2ae-450b-894d-639686629487.jpg,1280,720,Plastic_Bottle,316,371,1037,510
2020-06-25-07-47-27_1_4892214250021_21947e43-baf3-4bb7-a6b1-eac6c061d932.jpg,1280,720,Plastic_Bottle,260,347,982,496
2020-06-27-02-51-59_1_4891028165057_9be9bf7c-e91b-4e72-b78c-6907470fcc54.jpg,1280,720,Plastic_Bottle,192,326,1179,526
